response_type,model1,model2,jsd
authority,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.176
authority,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.188
authority,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.192
authority,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.17
authority,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.206
authority,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.198
authority,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.196
authority,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.106
authority,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.179
authority,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.116
authority,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.199
authority,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.171
authority,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.213
authority,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.18
authority,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.12
authority,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.204
authority,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.185
authority,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.221
authority,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.164
authority,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.244
authority,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.232
authority,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.232
authority,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.199
authority,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.181
authority,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.205
authority,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.15
authority,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.17
authority,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.174
base,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.175
base,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.186
base,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.212
base,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.184
base,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.191
base,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.206
base,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.187
base,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.121
base,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.149
base,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.122
base,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.178
base,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.198
base,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.176
base,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.16
base,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.138
base,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.193
base,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.212
base,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.183
base,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.155
base,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.224
base,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.236
base,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.216
base,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.193
base,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.215
base,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.186
