topic,model1,model2,jsd
abortion,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.246
abortion,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.238
abortion,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.258
abortion,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.214
abortion,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.279
abortion,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.257
abortion,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.245
abortion,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.169
abortion,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.254
abortion,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.183
abortion,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.248
abortion,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.238
abortion,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.24
abortion,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.235
abortion,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.191
abortion,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.261
abortion,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.249
abortion,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.248
abortion,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.21
abortion,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.296
abortion,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.285
abortion,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.273
abortion,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.271
abortion,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.271
abortion,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.242
abortion,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.191
abortion,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.2
