model1,model2,jsd
Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.099
Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.1
Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.111
Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.091
Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.106
Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.1
Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.099
Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.043
Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.085
Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.051
Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.118
Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.101
Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.115
Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.081
Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.051
Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.121
Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.107
Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.118
Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.068
Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.139
Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.125
Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.129
Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.118
Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.103
Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.111
Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.067
Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.067
Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.07
