response_type1,response_type2,jsd
authority,base,0.138
authority,care,0.157
authority,equality,0.171
authority,loyalty,0.134
authority,proportionality,0.17
authority,purity,0.13
base,care,0.107
base,equality,0.115
base,loyalty,0.128
base,proportionality,0.131
base,purity,0.123
care,equality,0.124
care,loyalty,0.133
care,proportionality,0.147
care,purity,0.127
equality,loyalty,0.14
equality,proportionality,0.121
equality,purity,0.158
loyalty,proportionality,0.141
loyalty,purity,0.14
proportionality,purity,0.157
